No;Provinsi;Penduduk_2024;Luas_Wilayah_km2;Kepadatan_Penduduk_2024
1;Aceh;5554.8;56834.75;97.73598019
2;Sumatera Utara;15588.5;72460.74;215.1302899
3;Sumatera Barat;5836.2;42119.54;138.5627668
4;Riau;6728.1;89935.9;74.80994797
5;Jambi;3724.3;49026.58;75.96491536
6;Sumatera Selatan;8837.3;86771.68;101.8454408
7;Bengkulu;2112.2;20128.34;104.9366217
8;Lampung;9419.6;33570.26;280.5935968
9;Kep. Bangka Belitung;1531.5;16690.13;91.76081912
10;Kep. Riau;2183.3;8269.71;264.0116763
11;DKI Jakarta;10684.9;660.98;16165.23949
12;Jawa Barat;50345.2;37044.86;1359.033345
13;Jawa Tengah;37892.3;34337.49;1103.525622
14;DI Yogyakarta;3759.5;3170.65;1185.719017
15;Jawa Timur;41814.5;48036.84;870.467333
16;Banten;12431.4;9352.77;1329.167723
17;Bali;4433.3;5590.15;793.0556425
18;Nusa Tenggara Barat;5646;19675.89;286.950171
19;Nusa Tenggara Timur;5656;46446.64;121.7741477
20;Kalimantan Barat;5695.5;147037.04;38.73513776
21;Kalimantan Tengah;2809.7;153443.91;18.31092547
22;Kalimantan Selatan;4273.4;37135.05;115.0772653
23;Kalimantan Timur;4045.9;126981.28;31.86217685
24;Kalimantan Utara;739.8;70101.18;10.55331736
25;Sulawesi Utara;2701.8;14500.28;186.3274364
26;Sulawesi Tengah;3121.8;61605.72;50.673866
27;Sulawesi Selatan;9463.4;45330.55;208.7642881
28;Sulawesi Tenggara;2793.1;36159.71;77.24342922
29;Gorontalo;1227.8;12025.15;102.1026765
30;Sulawesi Barat;1503.2;16594.75;90.58286506
31;Maluku;1945.6;46158.27;42.15062653
32;Maluku Utara;1355.6;32998.7;41.0804062
33;Papua;4542.6;312816.36;14.52161901
34;Papua Barat;1205.8;99398.26;12.13099706
